competition,model_id,model_family,seed,params_json,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,public_auc,private_auc,cv_private_gap,abs_cv_private_gap,public_private_gap,abs_public_private_gap,runtime_seconds
santander,476,xgboost,967125,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 3.0, ""gamma"": 0.0, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1}",0.8602205748936903,0.003722883074447,0.8532938005912626,0.8644989494642119,,,,,,,141.1186168193817
santander,477,xgboost,295488,"{""n_estimators"": 900, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 2.0, ""gamma"": 0.0, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1}",0.8741476606361662,0.0034990553580816,0.8675799953816246,0.8780309489735878,,,,,,,222.66568779945376
santander,478,xgboost,849343,"{""n_estimators"": 700, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 10.0, ""gamma"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0}",0.8792249745043466,0.0033149748705254,0.8729577446287184,0.8825144949638519,,,,,,,128.27347898483276
santander,479,xgboost,197101,"{""n_estimators"": 1100, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3.0, ""gamma"": 0.0, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0}",0.8939515520023267,0.0025590857666196,0.8890703099289545,0.8960254556843354,,,,,,,149.4167981147766
santander,480,xgboost,611845,"{""n_estimators"": 700, ""learning_rate"": 0.02, ""max_depth"": 6, ""min_child_weight"": 8.0, ""gamma"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0}",0.8775973648904536,0.003442317877899,0.8710787675021225,0.8810775549692779,,,,,,,138.23317193984985
santander,481,xgboost,203530,"{""n_estimators"": 500, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 8.0, ""gamma"": 0.01, ""subsample"": 1.0, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}",0.8722641529304275,0.0034721098380305,0.8656572681340379,0.8757432413373404,,,,,,,85.43976974487305
santander,482,xgboost,539402,"{""n_estimators"": 900, ""learning_rate"": 0.07, ""max_depth"": 7, ""min_child_weight"": 3.0, ""gamma"": 0.05, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",0.8854674505858732,0.0033807020126478,0.8790170223092433,0.888060076826232,,,,,,,209.92435789108276
santander,483,xgboost,348478,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 10.0, ""gamma"": 0.05, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}",0.8365120060340798,0.0042658063505961,0.8290088813851808,0.841065443299299,,,,,,,49.73796892166138
santander,484,xgboost,763003,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 8.0, ""gamma"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",0.7862118119338402,0.0056823893095233,0.7758164638176543,0.7926231372880653,,,,,,,44.665581703186035
santander,485,xgboost,928744,"{""n_estimators"": 900, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 1.0, ""gamma"": 0.1, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0}",0.8371199369544575,0.0037126392196527,0.8307078628536031,0.8417647977780758,,,,,,,103.127290725708
