competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,public_auc,private_auc,runtime_seconds,error,finished_at,cv_private_gap,abs_cv_private_gap,public_private_gap,abs_public_private_gap
santander,533,xgboost,563019,"{""n_estimators"": 1100, ""learning_rate"": 0.02, ""max_depth"": 7, ""min_child_weight"": 5.0, ""gamma"": 0.0, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0}",2026-05-10T13:55:03.709303,0.887771103874581,0.0032407700633316,0.8816023378106688,0.8907754382187237,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0533.csv,False,,,,246.4442229270935,,2026-05-10T13:59:10.153516,,,,
santander,534,xgboost,301791,"{""n_estimators"": 900, ""learning_rate"": 0.03, ""max_depth"": 5, ""min_child_weight"": 2.0, ""gamma"": 0.01, ""subsample"": 0.8, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0}",2026-05-10T13:59:10.169195,0.8871774358045184,0.0033628454402374,0.8808608983985022,0.8907647541358449,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0534.csv,False,,,,142.1308572292328,,2026-05-10T14:01:32.300042,,,,
santander,535,xgboost,226548,"{""n_estimators"": 700, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 8.0, ""gamma"": 0.3, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}",2026-05-10T14:01:32.317132,0.8509289472625838,0.0035198871470925,0.8448048217777151,0.8557538789496453,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0535.csv,False,,,,108.3526599407196,,2026-05-10T14:03:20.669780,,,,
santander,536,xgboost,654250,"{""n_estimators"": 1100, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 2.0, ""gamma"": 0.0, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",2026-05-10T14:03:20.682870,0.8906835005432894,0.0026721801281998,0.8860244946750406,0.8933199034012816,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0536.csv,False,,,,250.1923551559448,,2026-05-10T14:07:30.875222,,,,
santander,537,xgboost,783657,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 8.0, ""gamma"": 0.1, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0}",2026-05-10T14:07:30.891372,0.8767750022609645,0.0035999434416045,0.8700723176778697,0.8805474757803079,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0537.csv,False,,,,118.04988312721252,,2026-05-10T14:09:28.941247,,,,
santander,538,xgboost,165959,"{""n_estimators"": 1100, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 1.0, ""gamma"": 0.3, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}",2026-05-10T14:09:28.958121,0.8806144364649249,0.0035975032170332,0.8736378903149622,0.8835879825131506,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0538.csv,False,,,,148.43941402435303,,2026-05-10T14:11:57.397523,,,,
santander,539,xgboost,179122,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""max_depth"": 7, ""min_child_weight"": 5.0, ""gamma"": 0.0, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}",2026-05-10T14:11:57.413299,0.8788440193994831,0.0033716108027848,0.8724128074192684,0.8823994007674796,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0539.csv,False,,,,77.58323001861572,,2026-05-10T14:13:14.996519,,,,
santander,540,xgboost,851490,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1.0, ""gamma"": 0.01, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}",2026-05-10T14:13:15.009843,0.8906832045905532,0.0028319495666562,0.8851383645972473,0.8929434954189586,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0540.csv,False,,,,144.57581901550293,,2026-05-10T14:15:39.585652,,,,
santander,541,xgboost,21745,"{""n_estimators"": 700, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 2.0, ""gamma"": 0.01, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}",2026-05-10T14:15:39.600256,0.8864436036904285,0.0032595719881993,0.880137223830818,0.8892101163480028,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0541.csv,False,,,,160.20618224143982,,2026-05-10T14:18:19.806428,,,,
santander,542,xgboost,801120,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 2.0, ""gamma"": 0.01, ""subsample"": 1.0, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",2026-05-10T14:18:19.821327,0.8570754974002733,0.003580847192075,0.8505942459741316,0.8613069811616245,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0542.csv,False,,,,135.99509501457214,,2026-05-10T14:20:35.816413,,,,
santander,543,xgboost,961518,"{""n_estimators"": 500, ""learning_rate"": 0.02, ""max_depth"": 5, ""min_child_weight"": 5.0, ""gamma"": 0.3, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0}",2026-05-10T14:20:35.830576,0.8638486887078545,0.0033407279350953,0.8575547533317294,0.8675455347141102,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0543.csv,False,,,,81.18313980102539,,2026-05-10T14:21:57.013707,,,,
santander,544,xgboost,516890,"{""n_estimators"": 700, ""learning_rate"": 0.07, ""max_depth"": 7, ""min_child_weight"": 2.0, ""gamma"": 0.01, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}",2026-05-10T14:21:57.035498,0.8853629885786821,0.0029897012681551,0.8794004304491992,0.8872848307826947,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0544.csv,False,,,,158.5447428226471,,2026-05-10T14:24:35.580231,,,,
santander,545,xgboost,254369,"{""n_estimators"": 900, ""learning_rate"": 0.07, ""max_depth"": 6, ""min_child_weight"": 2.0, ""gamma"": 0.0, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}",2026-05-10T14:24:35.594403,0.8891417736426475,0.0020744244022704,0.8850604398795351,0.8907226478778979,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0545.csv,False,,,,162.77544903755188,,2026-05-10T14:27:18.369842,,,,
santander,546,xgboost,898827,"{""n_estimators"": 300, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 2.0, ""gamma"": 0.05, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5}",2026-05-10T14:27:18.384312,0.8678752160571148,0.0032967139206874,0.8615658160005972,0.8710438319237063,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0546.csv,False,,,,49.70245623588562,,2026-05-10T14:28:08.086759,,,,
santander,547,xgboost,593392,"{""n_estimators"": 700, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1.0, ""gamma"": 0.05, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",2026-05-10T14:28:08.100116,0.8832375140830081,0.0031280368063947,0.8770440702269641,0.8854792726406382,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0547.csv,False,,,,85.29896903038025,,2026-05-10T14:29:33.399077,,,,
santander,548,xgboost,989833,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""max_depth"": 7, ""min_child_weight"": 5.0, ""gamma"": 0.0, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5}",2026-05-10T14:29:33.413708,0.8584245384862619,0.0038071737770384,0.8515190411201358,0.8618997921679643,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0548.csv,False,,,,79.24695801734924,,2026-05-10T14:30:52.660654,,,,
santander,549,xgboost,473833,"{""n_estimators"": 900, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 8.0, ""gamma"": 0.0, ""subsample"": 0.9, ""colsample_bytree"": 0.7, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1}",2026-05-10T14:30:52.673603,0.8513336668450909,0.0036972139851886,0.844841291734767,0.8561732793383066,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0549.csv,False,,,,120.40967392921448,,2026-05-10T14:32:53.083268,,,,
