competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,runtime_seconds,error,finished_at,public_auc,private_auc,cv_private_gap,abs_cv_private_gap,public_private_gap,abs_public_private_gap
santander,920,extra_trees,909793,"{""n_estimators"": 500, ""max_depth"": null, ""min_samples_split"": 10, ""min_samples_leaf"": 8, ""max_features"": ""log2"", ""bootstrap"": false}",2026-05-12T02:07:26.467387,0.8772216490581991,0.0032414181362025,0.8710155932400256,0.8804873008498364,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0920.csv,False,,211.6418080329895,,2026-05-12T02:10:58.109184,0.87754,0.87564,0.0015816490581991305,0.0015816490581991305,0.0019000000000000128,0.0019000000000000128
santander,921,extra_trees,197120,"{""n_estimators"": 200, ""max_depth"": null, ""min_samples_split"": 2, ""min_samples_leaf"": 1, ""max_features"": ""sqrt"", ""bootstrap"": false}",2026-05-12T02:10:58.167416,0.8364848431284149,0.0029624012825902,0.8308035973550811,0.8386896430852961,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0921.csv,False,,187.61346888542175,,2026-05-12T02:14:05.780875,0.83416,0.83414,0.002344843128414875,0.002344843128414875,2.0000000000020002e-05,2.0000000000020002e-05
santander,930,logistic_regression,819738,"{""C"": 0.01, ""penalty"": ""l2"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T03:53:38.329033,0.8595048984186293,0.0023796065436298,0.855709625856266,0.8625408578864912,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0930.csv,False,,16.9151611328125,,2026-05-12T03:53:55.244187,0.86096,0.86066,-0.0011551015813706655,0.0011551015813706655,0.00029999999999996696,0.00029999999999996696
santander,935,logistic_regression,41345,"{""C"": 0.3, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T03:55:05.510234,0.8594937282881185,0.0023777490419772,0.8557002162616599,0.8625170348020136,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0935.csv,False,,20.507110834121704,,2026-05-12T03:55:26.017337,0.86094,0.86064,-0.0011462717118814192,0.0011462717118814192,0.000300000000000078,0.000300000000000078
santander,937,logistic_regression,550964,"{""C"": 0.01, ""penalty"": ""l2"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T03:55:46.761366,0.8595048984186293,0.0023796065436298,0.855709625856266,0.8625408578864912,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0937.csv,False,,15.02968406677246,,2026-05-12T03:56:01.791042,0.86096,0.86066,-0.0011551015813706655,0.0011551015813706655,0.00029999999999996696,0.00029999999999996696
santander,940,logistic_regression,101769,"{""C"": 0.3, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T03:56:36.703363,0.8594936826470704,0.0023776444366455,0.8557003337951709,0.8625168411746215,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0940.csv,False,,21.69294786453247,,2026-05-12T03:56:58.396302,0.86094,0.86064,-0.0011463173529295823,0.0011463173529295823,0.000300000000000078,0.000300000000000078
santander,941,logistic_regression,323093,"{""C"": 0.001, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T03:56:58.412437,0.8355127026583642,0.0035392000038289,0.8294425385579052,0.8400936689105337,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0941.csv,False,,18.372318029403687,,2026-05-12T03:57:16.784749,0.8443,0.84406,-0.00854729734163584,0.00854729734163584,0.00024000000000001798,0.00024000000000001798
santander,942,logistic_regression,474056,"{""C"": 0.001, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T03:57:16.802183,0.8355127317067514,0.0035392400861856,0.8294425247304336,0.8400938625379257,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0942.csv,False,,17.83887505531311,,2026-05-12T03:57:34.641050,0.8443,0.84406,-0.008547268293248589,0.008547268293248589,0.00024000000000001798,0.00024000000000001798
santander,943,logistic_regression,678860,"{""C"": 0.001, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T03:57:34.656468,0.835512735846436,0.0035390444819641,0.8294428496760222,0.84009348911367,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0943.csv,False,,18.663763999938965,,2026-05-12T03:57:53.320225,0.8443,0.84406,-0.008547264153563994,0.008547264153563994,0.00024000000000001798,0.00024000000000001798
santander,944,logistic_regression,954872,"{""C"": 0.001, ""penalty"": ""l2"", ""solver"": ""lbfgs"", ""max_iter"": 1000}",2026-05-12T03:57:53.335951,0.8595474021559957,0.0023876326453003,0.8557313902969864,0.8626010690901329,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0944.csv,False,,14.04088282585144,,2026-05-12T03:58:07.376825,0.86101,0.86068,-0.0011325978440043238,0.0011325978440043238,0.0003300000000000525,0.0003300000000000525
santander,945,logistic_regression,511270,"{""C"": 0.3, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T03:58:07.391376,0.8594937061592738,0.0023777639219482,0.8557001402105648,0.8625169656493735,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0945.csv,False,,22.682373046875,,2026-05-12T03:58:30.073741,0.86094,0.86064,-0.0011462938407261758,0.0011462938407261758,0.000300000000000078,0.000300000000000078
santander,951,logistic_regression,557072,"{""C"": 0.003, ""penalty"": ""l2"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T03:59:46.049670,0.8595232943628162,0.0023841669283789,0.8557163529213301,0.862572764914584,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0951.csv,False,,15.603604316711426,,2026-05-12T04:00:01.653267,0.86098,0.86067,-0.0011467056371838869,0.0011467056371838869,0.00030999999999992145,0.00030999999999992145
santander,953,logistic_regression,586167,"{""C"": 0.001, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T04:00:23.000661,0.8355128340361556,0.0035393323609606,0.8294424210243945,0.8400939593516219,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0953.csv,False,,16.828487873077393,,2026-05-12T04:00:39.829141,0.8443,0.84406,-0.008547165963844416,0.008547165963844416,0.00024000000000001798,0.00024000000000001798
santander,963,logistic_regression,431966,"{""C"": 0.001, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T04:03:26.061592,0.8355127081820182,0.0035392843132534,0.8294424417656022,0.8400938141310778,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0963.csv,False,,17.89155077934265,,2026-05-12T04:03:43.953136,0.8443,0.84406,-0.008547291817981861,0.008547291817981861,0.00024000000000001798,0.00024000000000001798
santander,970,logistic_regression,225077,"{""C"": 0.003, ""penalty"": ""l2"", ""solver"": ""lbfgs"", ""max_iter"": 1000}",2026-05-12T04:05:20.891070,0.8595142327753766,0.00238552386443,0.8557047378449608,0.8625511547145859,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0970.csv,False,,12.060817003250122,,2026-05-12T04:05:32.951877,0.86097,0.86066,-0.0011457672246233397,0.0011457672246233397,0.00031000000000003247,0.00031000000000003247
santander,974,logistic_regression,147153,"{""C"": 0.3, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T04:06:25.814008,0.8594937545627598,0.0023778058073635,0.8557001332968287,0.8625171108699174,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0974.csv,False,,22.908824920654297,,2026-05-12T04:06:48.722826,0.86094,0.86064,-0.0011462454372401787,0.0011462454372401787,0.000300000000000078,0.000300000000000078
santander,978,logistic_regression,439098,"{""C"": 0.3, ""penalty"": ""l1"", ""solver"": ""liblinear"", ""max_iter"": 1000}",2026-05-12T04:07:46.360028,0.8594937213881352,0.0023779120964992,0.8556999950221101,0.8625174220567975,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/santander_1000_models/santander_model_0978.csv,False,,19.51944899559021,,2026-05-12T04:08:05.879466,0.86094,0.86064,-0.0011462786118647816,0.0011462786118647816,0.000300000000000078,0.000300000000000078
