model_family,n_models,mean_posterior_performance,std_posterior_performance,mean_posterior_uncertainty,mean_private_auc,mean_cv_auc,mean_public_auc,mean_abs_cv_private_gap,mean_abs_public_private_gap
random_forest,22,0.8304304152911609,0.14699071277245088,0.0008904529966714294,0.8303602272727272,0.8311961996690919,0.8310129545454547,0.0015961965160793364,0.0016222727272726977
catboost,60,0.818170944490226,0.1390654783418674,0.0008904529966714295,0.818111,0.8190923695401293,0.8185935833333333,0.0016845275931807976,0.0018577499999999517
xgboost,75,0.8162336546535046,0.1412083666168801,0.0008904529966714295,0.8161115333333333,0.8169583372311415,0.8170553333333334,0.0016559886695748517,0.0019351333333332895
lightgbm,75,0.8158122229184971,0.14097589497131954,0.0008904529966714295,0.8157211333333333,0.8164314771216736,0.8165903333333333,0.0016866982042613732,0.0020382666666666173
logistic_regression,45,0.8047534149010835,0.13748057174644432,0.0008904529966714295,0.8052124444444445,0.8033048173088334,0.8049111111111112,0.00190762713561104,0.0011431111111110644
extra_trees,23,0.783231943727479,0.14042161368821776,0.0008904529966714294,0.7832526086956522,0.784030994159501,0.783425652173913,0.001832185538312513,0.0014834782608695353
