model_family,n_models,mean_cv_auc,mean_public_auc,mean_private_auc,mean_cv_private_gap,mean_abs_cv_private_gap,mean_public_private_gap,mean_abs_public_private_gap
random_forest,22,0.8311961996690919,0.8310129545454547,0.8303602272727272,0.0008359723963646272,0.0015961965160793364,0.0006527272727272612,0.0016222727272726977
catboost,60,0.8190923695401293,0.8185935833333333,0.818111,0.000981369540129371,0.0016845275931807976,0.00048258333333331833,0.0018577499999999517
xgboost,75,0.8169583372311415,0.8170553333333334,0.8161115333333333,0.0008468038978082526,0.0016559886695748517,0.0009437999999999719,0.0019351333333332895
lightgbm,75,0.8164314771216736,0.8165903333333333,0.8157211333333333,0.0007103437883403147,0.0016866982042613732,0.0008691999999999667,0.0020382666666666173
logistic_regression,45,0.8033048173088334,0.8049111111111112,0.8052124444444445,-0.00190762713561104,0.00190762713561104,-0.0003013333333333355,0.0011431111111110644
extra_trees,23,0.784030994159501,0.783425652173913,0.7832526086956522,0.0007783854638487652,0.001832185538312513,0.00017304347826086562,0.0014834782608695353
