competition,n_models,mean_cv_private_gap,std_cv_private_gap,mean_abs_cv_private_gap,median_abs_cv_private_gap,mean_public_private_gap,std_public_private_gap,mean_abs_public_private_gap,median_abs_public_private_gap
homesite,100,-0.0005616422039842748,0.0003921811355166927,0.0005734765590948408,0.0004830851719901,0.0005799999999999548,0.0003337179599117599,0.0005847999999999548,0.00052499999999995
porto,100,-0.0006194239318150961,0.001075366993854713,0.0009992897246954456,0.000844895970039,-0.0016756999999999666,0.0012419738322525017,0.0019237999999999597,0.0021325
santander,100,0.002442258997348885,0.003249486043781223,0.003575963545869661,0.0032299065795727,0.002792799999999952,0.001436927192858331,0.0027985999999999523,0.00297499999999995
