competition,n_models,mean_cv_auc,mean_public_auc,mean_private_auc,mean_cv_private_gap,mean_abs_cv_private_gap,mean_public_private_gap,mean_abs_public_private_gap
homesite,100,0.9558397577960157,0.9569814,0.9564014000000001,-0.0005616422039842748,0.0005734765590948408,0.0005799999999999548,0.0005847999999999548
porto,100,0.6269013260681848,0.62584505,0.62752075,-0.0006194239318150961,0.0009992897246954456,-0.0016756999999999666,0.0019237999999999597
santander,100,0.858434158997349,0.8587847,0.8559918999999999,0.002442258997348885,0.003575963545869661,0.002792799999999952,0.0027985999999999523
