model_family,n_models,mean_cv_private_gap,std_cv_private_gap,mean_abs_cv_private_gap,median_abs_cv_private_gap,mean_public_private_gap,std_public_private_gap,mean_abs_public_private_gap,median_abs_public_private_gap
random_forest,22,0.0008359723963646272,0.001803612921353956,0.0015961965160793364,0.0011494095368291,0.0006527272727272612,0.0023423277632836146,0.0016222727272726977,0.000445
xgboost,75,0.0008468038978082526,0.00231928282337067,0.0016559886695748517,0.0006558897879268,0.0009437999999999719,0.002183548413861149,0.0019351333333332895,0.0020949999999999
catboost,60,0.000981369540129371,0.002337227760112349,0.0016845275931807976,0.0007056207530002,0.00048258333333331833,0.0020796189130333873,0.0018577499999999517,0.00206749999999995
lightgbm,75,0.0007103437883403147,0.0022190535732554114,0.0016866982042613732,0.0009000592022734,0.0008691999999999667,0.0023718824545871224,0.0020382666666666173,0.00221
extra_trees,23,0.0007783854638487652,0.0020362622558840675,0.001832185538312513,0.0017191115505648,0.00017304347826086562,0.0019243840449788227,0.0014834782608695353,0.00162
logistic_regression,45,-0.00190762713561104,0.002405941775307016,0.00190762713561104,0.0011467056371838,-0.0003013333333333355,0.0014300061188679812,0.0011431111111110644,0.0006999999999999
