competition,n_models,mean_posterior_performance,std_posterior_performance,mean_posterior_uncertainty,mean_private_auc,mean_cv_auc,mean_public_auc,mean_abs_cv_private_gap,mean_abs_public_private_gap
homesite,100,0.9562736986153604,0.009911110259668123,0.0008904529966714297,0.9564014000000001,0.9558397577960157,0.9569814,0.0005734765590948408,0.0005847999999999548
porto,100,0.6269940534116089,0.013658067023981414,0.0008904529966714297,0.62752075,0.6269013260681848,0.62584505,0.0009992897246954456,0.0019237999999999597
santander,100,0.8566462979730306,0.033071781181650516,0.0008904529966714297,0.8559918999999999,0.858434158997349,0.8587847,0.003575963545869661,0.0027985999999999523
