competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,runtime_seconds,error,finished_at,public_auc,private_auc,cv_private_gap,abs_cv_private_gap,public_private_gap,abs_public_private_gap,public_gini,private_gini,cv_corrected,public_corrected,private_corrected,posterior_true_performance,posterior_uncertainty
homesite,14,lightgbm,982738,"{""n_estimators"": 500, ""learning_rate"": 0.02, ""num_leaves"": 31, ""max_depth"": 9, ""min_child_samples"": 120, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0}",2026-05-14T02:43:05.639509,0.9645529502344614,0.0005618806577759,0.9637856295614242,0.965366273585154,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0014.csv,False,,105.17787885665894,,2026-05-14T02:44:50.817378,0.96547,0.96502,-0.0004670497655385,0.0004670497655385,0.00045,0.00045,,,0.9641325526139449,0.9649043,0.96502,0.9648822847241492,0.0008904529966714295
homesite,21,lightgbm,261140,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 7, ""min_child_samples"": 20, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}",2026-05-14T02:55:10.609152,0.9658510973748878,0.0004451768395761,0.9653139031329278,0.9664364794633932,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0021.csv,False,,159.73572897911072,,2026-05-14T02:57:50.344871,0.96696,0.96648,-0.0006289026251121,0.0006289026251121,0.00048,0.00048,,,0.9654306997543713,0.9663943,0.96648,0.9663260336269142,0.0008904529966714295
homesite,27,lightgbm,294753,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 5, ""min_child_samples"": 40, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",2026-05-14T03:07:05.392899,0.952139376037251,0.0008317017405628,0.951140356702342,0.9535337394635356,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0027.csv,False,,60.529529094696045,,2026-05-14T03:08:05.922419,0.95338,0.95257,-0.000430623962749,0.000430623962749,0.0008099999999999,0.0008099999999999,,,0.9517189784167345,0.9528143,0.95257,0.9524995688978999,0.0008904529966714295
homesite,36,lightgbm,845642,"{""n_estimators"": 1100, ""learning_rate"": 0.02, ""num_leaves"": 127, ""max_depth"": -1, ""min_child_samples"": 40, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0}",2026-05-14T03:20:34.996799,0.9659888135969537,0.0005675420104771,0.9653052919724908,0.9667217970658588,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0036.csv,False,,296.7129530906677,,2026-05-14T03:25:31.709745,0.96708,0.96662,-0.0006311864030463,0.0006311864030463,0.00046,0.00046,,,0.9655684159764372,0.9665143,0.96662,0.9664622611346502,0.0008904529966714295
homesite,52,lightgbm,357861,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 3, ""min_child_samples"": 20, ""subsample"": 1.0, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}",2026-05-14T03:54:41.007030,0.9439830653453984,0.0006836155525272,0.9431258409258664,0.9450739843412056,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0052.csv,False,,63.24360704421997,,2026-05-14T03:55:44.250625,0.94495,0.94447,-0.0004869346546015,0.0004869346546015,0.0004799999999999,0.0004799999999999,,,0.943562667724882,0.9443843,0.94447,0.9443348533427303,0.0008904529966714295
homesite,81,lightgbm,44171,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 7, ""min_child_samples"": 120, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}",2026-05-14T04:46:56.359280,0.9659373371842944,0.0004930736581883,0.9653603849260096,0.9664885554826618,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0081.csv,False,,174.98691582679749,,2026-05-14T04:49:51.346187,0.96682,0.96634,-0.0004026628157055,0.0004026628157055,0.00048,0.00048,,,0.9655169395637779,0.9662543,0.96634,0.9662160246798538,0.0008904529966714295
homesite,89,lightgbm,99981,"{""n_estimators"": 900, ""learning_rate"": 0.03, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",2026-05-14T05:05:33.313093,0.9658307336268714,0.0005155004014344,0.965211119483626,0.966391590504342,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0089.csv,False,,174.87291812896729,,2026-05-14T05:08:28.186002,0.96688,0.9665,-0.0006692663731285,0.0006692663731285,0.0003799999999999,0.0003799999999999,,,0.965410336006355,0.9663143,0.9665,0.9663233341451279,0.0008904529966714295
homesite,101,lightgbm,268765,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 120, ""subsample"": 0.7, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0}",2026-05-14T05:28:16.247885,0.9645531801958224,0.0004738014421097,0.9639450674211408,0.9652898296185984,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0101.csv,False,,118.42483687400818,,2026-05-14T05:30:14.672713,0.9654,0.96492,-0.0003668198041776,0.0003668198041776,0.00048,0.00048,,,0.9641327825753059,0.9648343,0.96492,0.9648007761409649,0.0008904529966714295
homesite,140,lightgbm,854614,"{""n_estimators"": 500, ""learning_rate"": 0.02, ""num_leaves"": 31, ""max_depth"": -1, ""min_child_samples"": 10, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1}",2026-05-14T06:36:01.042198,0.9645700741729384,0.0005886178302892,0.9638565517033394,0.9653840554050618,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0140.csv,False,,94.342041015625,,2026-05-14T06:37:35.384230,0.96564,0.96507,-0.0004999258270615,0.0004999258270615,0.00057,0.00057,,,0.9641496765524219,0.9650743,0.96507,0.9649487450564991,0.0008904529966714295
homesite,143,lightgbm,470276,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""num_leaves"": 63, ""max_depth"": 3, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0}",2026-05-14T06:40:32.602868,0.9444206286434688,0.0007093180930272,0.9434176770809342,0.9454196558731308,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0143.csv,False,,48.864562034606934,,2026-05-14T06:41:21.467419,0.94455,0.94406,0.0003606286434687,0.0003606286434687,0.0004899999999999,0.0004899999999999,,,0.9440002310229523,0.9439843,0.94406,0.9440389438439671,0.0008904529966714295
