competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,public_auc,private_auc,runtime_seconds,error,finished_at
homesite,0,lightgbm,89251,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 120, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 0.0}",2026-05-14T02:10:47.738282,0.9657242507213984,0.000430370635218,0.9651630738171322,0.9663465905295862,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0000.csv,False,,,,92.78604197502136,,2026-05-14T02:12:20.524313
homesite,1,lightgbm,526479,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 0.5}",2026-05-14T02:12:20.526239,0.9652813529978996,0.0003607429204314,0.9647989289345148,0.965728145821238,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0001.csv,False,,,,184.9522969722748,,2026-05-14T02:15:25.478530
homesite,2,lightgbm,500352,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5}",2026-05-14T02:15:25.485381,0.9607923078772622,0.0004786964262577,0.960425176925488,0.9617177351942772,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0002.csv,False,,,,92.38662981987,,2026-05-14T02:16:57.872001
homesite,3,lightgbm,450460,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""num_leaves"": 63, ""max_depth"": 9, ""min_child_samples"": 10, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0}",2026-05-14T02:16:57.876169,0.9626471298081468,0.0005952291133884,0.9618426182090642,0.9636116558844836,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0003.csv,False,,,,90.69405889511108,,2026-05-14T02:18:28.570220
homesite,4,lightgbm,165229,"{""n_estimators"": 900, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": -1, ""min_child_samples"": 120, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",2026-05-14T02:18:28.575009,0.96549645816167,0.0005175344239031,0.964827583570212,0.966277688390828,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0004.csv,False,,,,94.15043091773988,,2026-05-14T02:20:02.725428
homesite,5,lightgbm,759899,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",2026-05-14T02:28:15.921102,0.9595798235985538,0.0004294285275964489,0.9590931530443128,0.9603578072861383,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0005.csv,False,,,,55.42540216445923,,2026-05-14T02:29:11.346490
homesite,6,lightgbm,922527,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""num_leaves"": 127, ""max_depth"": 5, ""min_child_samples"": 20, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}",2026-05-14T02:29:11.350789,0.9645222529151104,0.0004941700058391033,0.9639410225880566,0.9653028618970324,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0006.csv,False,,,,85.62467193603516,,2026-05-14T02:30:36.975452
homesite,7,lightgbm,795680,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 15, ""max_depth"": 7, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}",2026-05-14T02:30:36.980150,0.9623822530702393,0.0005250969535392272,0.9618623234967337,0.9633260655695244,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0007.csv,False,,,,54.789588928222656,,2026-05-14T02:31:31.769734
homesite,8,lightgbm,940306,"{""n_estimators"": 700, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.6, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0}",2026-05-14T02:31:31.783450,0.9628797367787019,0.0004899948774391268,0.9622564775178186,0.9636918430110116,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0008.csv,False,,,,114.30612874031067,,2026-05-14T02:33:26.089550
homesite,9,lightgbm,435217,"{""n_estimators"": 1100, ""learning_rate"": 0.07, ""num_leaves"": 31, ""max_depth"": 9, ""min_child_samples"": 20, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}",2026-05-14T02:33:26.094328,0.965170422269544,0.0005605011198493287,0.9643834825759058,0.9657625948258746,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0009.csv,False,,,,120.22439503669739,,2026-05-14T02:35:26.318722
