competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,runtime_seconds,error,finished_at,public_auc,private_auc,cv_private_gap,abs_cv_private_gap,public_private_gap,abs_public_private_gap
homesite,197,lightgbm,828745,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 10, ""subsample"": 1.0, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 2.0}",2026-05-14T08:12:53.523477,0.9658774066885464,0.0004334371251831,0.9653440559638086,0.9664667481367486,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0197.csv,False,,120.95249104499815,,2026-05-14T08:14:54.475955,0.96696,0.96638,-0.0005025933114536363,0.0005025933114536363,0.0005800000000000249,0.0005800000000000249
homesite,204,lightgbm,289663,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 3, ""min_child_samples"": 120, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",2026-05-14T08:26:09.752980,0.9646332830642658,0.0004816386335654,0.9640550984652831,0.9653674199429788,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0204.csv,False,,85.51312923431396,,2026-05-14T08:27:35.266099,0.96553,0.96505,-0.000416716935734196,0.000416716935734196,0.00048000000000003595,0.00048000000000003595
homesite,220,lightgbm,365999,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 80, ""subsample"": 0.6, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.01, ""reg_lambda"": 0.0}",2026-05-14T08:55:29.085506,0.9522457554347736,0.0007363225908768,0.9514163801541006,0.953320659297753,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0220.csv,False,,59.13935303688049,,2026-05-14T08:56:28.224850,0.95328,0.95267,-0.00042424456522638376,0.00042424456522638376,0.0006099999999999994,0.0006099999999999994
homesite,222,lightgbm,945901,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""num_leaves"": 31, ""max_depth"": 5, ""min_child_samples"": 80, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.01, ""reg_lambda"": 5.0}",2026-05-14T08:58:15.730444,0.9518416595290254,0.0006714079277349,0.951033720084055,0.9529107893142308,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0222.csv,False,,57.08716797828674,,2026-05-14T08:59:12.817600,0.95296,0.95237,-0.0005283404709746087,0.0005283404709746087,0.0005899999999999794,0.0005899999999999794
homesite,223,lightgbm,632661,"{""n_estimators"": 300, ""learning_rate"": 0.07, ""num_leaves"": 15, ""max_depth"": 5, ""min_child_samples"": 80, ""subsample"": 0.7, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}",2026-05-14T08:59:12.829015,0.9645592926149306,0.0005010371260652,0.9639859356809564,0.9653236266606706,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0223.csv,False,,60.55808472633362,,2026-05-14T09:00:13.387090,0.96527,0.96474,-0.00018070738506947848,0.00018070738506947848,0.0005299999999999194,0.0005299999999999194
homesite,227,lightgbm,320462,"{""n_estimators"": 500, ""learning_rate"": 0.02, ""num_leaves"": 31, ""max_depth"": -1, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0}",2026-05-14T09:07:18.510794,0.9645579052446258,0.0005318277356069,0.9638067466792573,0.9652741426167794,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0227.csv,False,,110.2875063419342,,2026-05-14T09:09:08.798290,0.96537,0.96499,-0.0004320947553742016,0.0004320947553742016,0.00037999999999993594,0.00037999999999993594
homesite,270,lightgbm,881208,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""num_leaves"": 127, ""max_depth"": -1, ""min_child_samples"": 20, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}",2026-05-14T10:21:40.556936,0.9660321482610088,0.0004889002975354,0.9653810555676368,0.966691665955442,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0270.csv,False,,241.1173849105835,,2026-05-14T10:25:41.674310,0.96694,0.96667,-0.0006378517389912242,0.0006378517389912242,0.00026999999999999247,0.00026999999999999247
homesite,320,lightgbm,921338,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""num_leaves"": 15, ""max_depth"": 3, ""min_child_samples"": 80, ""subsample"": 1.0, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1}",2026-05-14T11:52:58.475058,0.9645869359613892,0.0004372639749089,0.964052272391571,0.9652315246529152,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0320.csv,False,,100.98255705833436,,2026-05-14T11:54:39.457607,0.96548,0.96502,-0.00043306403861076426,0.00043306403861076426,0.00046000000000001595,0.00046000000000001595
homesite,333,lightgbm,614232,"{""n_estimators"": 1100, ""learning_rate"": 0.02, ""num_leaves"": 127, ""max_depth"": -1, ""min_child_samples"": 20, ""subsample"": 0.8, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0}",2026-05-14T12:31:41.809897,0.9661475134235148,0.0004795236606957,0.9655988354478002,0.9667793611223792,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0333.csv,False,,283.06160497665405,,2026-05-14T12:36:24.871493,0.96703,0.96669,-0.0005424865764852571,0.0005424865764852571,0.00033999999999989594,0.00033999999999989594
homesite,341,lightgbm,71037,"{""n_estimators"": 1100, ""learning_rate"": 0.02, ""num_leaves"": 15, ""max_depth"": 5, ""min_child_samples"": 40, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1}",2026-05-14T12:51:01.693912,0.9645594420019016,0.000535546827335,0.9638974368568493,0.9653947515269172,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0341.csv,False,,100.71962785720824,,2026-05-14T12:52:42.413530,0.96552,0.96488,-0.0003205579980983808,0.0003205579980983808,0.0006400000000000849,0.0006400000000000849
homesite,349,lightgbm,107927,"{""n_estimators"": 900, ""learning_rate"": 0.02, ""num_leaves"": 63, ""max_depth"": 9, ""min_child_samples"": 40, ""subsample"": 0.6, ""colsample_bytree"": 0.7, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}",2026-05-14T13:01:38.400065,0.9658198438178112,0.0005103934111885,0.965155818174133,0.9664482785021457,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0349.csv,False,,141.46711897850037,,2026-05-14T13:03:59.867174,0.96663,0.96632,-0.0005001561821887934,0.0005001561821887934,0.00031000000000003247,0.00031000000000003247
homesite,385,xgboost,733795,"{""n_estimators"": 300, ""learning_rate"": 0.01, ""max_depth"": 4, ""min_child_weight"": 3.0, ""gamma"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.01, ""reg_lambda"": 1.0}",2026-05-14T17:15:27.396767,0.9505325486147111,0.0007708211768438,0.9496003311530912,0.9517592994260284,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/homesite_1000_models/homesite_model_0385.csv,False,,57.507915019989014,,2026-05-14T17:16:24.904673,0.95126,0.95092,-0.0003874513852888395,0.0003874513852888395,0.00034000000000000696,0.00034000000000000696
