competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,runtime_seconds,error,finished_at,public_gini,private_gini,public_auc,private_auc,cv_private_gap,abs_cv_private_gap,public_private_gap,abs_public_private_gap
porto,204,lightgbm,289663,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 3, ""min_child_samples"": 120, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0}",2026-05-12T18:26:32.737191,0.6387052920135535,0.002914611422919,0.6336297421304807,0.6419530216572589,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0204.csv,False,,50.27229309082031,,2026-05-12T18:27:23.009474,0.27603,0.28065,0.638015,0.640325,-0.0016197079864465058,0.0016197079864465058,-0.0023100000000000342,0.0023100000000000342
porto,211,lightgbm,281104,"{""n_estimators"": 900, ""learning_rate"": 0.07, ""num_leaves"": 127, ""max_depth"": 7, ""min_child_samples"": 20, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0}",2026-05-12T18:33:16.315182,0.6128439266307589,0.002143947309719,0.6104123551310106,0.6160413559913009,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0211.csv,False,,103.64907383918762,,2026-05-12T18:34:59.964247,0.22446,0.22528,0.61223,0.61264,0.000203926630758966,0.000203926630758966,-0.00040999999999991044,0.00040999999999991044
porto,237,lightgbm,43939,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""num_leaves"": 31, ""max_depth"": 7, ""min_child_samples"": 120, ""subsample"": 1.0, ""colsample_bytree"": 0.5, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0}",2026-05-12T18:57:57.807269,0.6410078266285343,0.0030824361981545,0.6350233610428746,0.643623451442668,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0237.csv,False,,119.5639989376068,,2026-05-12T18:59:57.371258,0.27898,0.28398,0.63949,0.6419900000000001,-0.0009821733714657777,0.0009821733714657777,-0.0025000000000000577,0.0025000000000000577
porto,251,lightgbm,199169,"{""n_estimators"": 1100, ""learning_rate"": 0.07, ""num_leaves"": 127, ""max_depth"": -1, ""min_child_samples"": 120, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",2026-05-12T19:09:17.192965,0.6048495236792387,0.0035933554152513,0.6001574691178597,0.610274690897735,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0251.csv,False,,133.6483998298645,,2026-05-12T19:11:30.841355,0.21387,0.21427,0.606935,0.607135,-0.0022854763207612594,0.0022854763207612594,-0.00019999999999997797,0.00019999999999997797
porto,261,lightgbm,970659,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""num_leaves"": 63, ""max_depth"": -1, ""min_child_samples"": 80, ""subsample"": 1.0, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}",2026-05-12T19:19:02.739288,0.6409712100425274,0.0031242207838433,0.6348299840844512,0.6433834095649655,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0261.csv,False,,151.17975997924805,,2026-05-12T19:21:33.919037,0.27955,0.28334,0.639775,0.64167,-0.0006987899574725231,0.0006987899574725231,-0.00189499999999998,0.00189499999999998
porto,262,lightgbm,847184,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""num_leaves"": 127, ""max_depth"": 9, ""min_child_samples"": 40, ""subsample"": 1.0, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.5, ""reg_lambda"": 0.0}",2026-05-12T19:21:33.926216,0.6407982873697199,0.0030230567554169,0.6348988875479261,0.6435065016269539,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0262.csv,False,,95.8378791809082,,2026-05-12T19:23:09.764085,0.27727,0.2809,0.6386350000000001,0.64045,0.000348287369719924,0.000348287369719924,-0.0018149999999999,0.0018149999999999
porto,272,lightgbm,626638,"{""n_estimators"": 900, ""learning_rate"": 0.01, ""num_leaves"": 31, ""max_depth"": 7, ""min_child_samples"": 80, ""subsample"": 0.6, ""colsample_bytree"": 0.5, ""reg_alpha"": 0.1, ""reg_lambda"": 0.5}",2026-05-12T19:32:44.620063,0.6410543307375882,0.0029029833756914,0.6354385780998255,0.6437245061617922,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0272.csv,False,,99.2600929737091,,2026-05-12T19:34:23.880147,0.27862,0.28312,0.63931,0.64156,-0.0005056692624118009,0.0005056692624118009,-0.0022499999999999742,0.0022499999999999742
porto,276,lightgbm,133745,"{""n_estimators"": 700, ""learning_rate"": 0.02, ""num_leaves"": 15, ""max_depth"": 3, ""min_child_samples"": 40, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0}",2026-05-12T19:36:39.467216,0.6386387019129984,0.0031008256682862,0.6327313247929861,0.6417282620579869,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0276.csv,False,,35.48732805252075,,2026-05-12T19:37:14.954535,0.27459,0.27969,0.637295,0.639845,-0.0012062980870015672,0.0012062980870015672,-0.0025500000000000522,0.0025500000000000522
porto,285,lightgbm,194883,"{""n_estimators"": 500, ""learning_rate"": 0.01, ""num_leaves"": 15, ""max_depth"": 7, ""min_child_samples"": 10, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",2026-05-12T19:48:07.308932,0.6386356843292407,0.00323890431375,0.6325018223914243,0.6421770820410572,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0285.csv,False,,48.321974992752075,,2026-05-12T19:48:55.630898,0.27357,0.27803,0.6367849999999999,0.639015,-0.00037931567075932815,0.00037931567075932815,-0.0022300000000000653,0.0022300000000000653
porto,290,lightgbm,507456,"{""n_estimators"": 1100, ""learning_rate"": 0.07, ""num_leaves"": 63, ""max_depth"": 7, ""min_child_samples"": 120, ""subsample"": 0.9, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 0.5}",2026-05-12T19:53:33.612951,0.6093779600621502,0.0036079263929957,0.6054643536575929,0.616197996331353,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0290.csv,False,,105.90192890167236,,2026-05-12T19:55:19.514870,0.21918,0.22197,0.60959,0.610985,-0.0016070399378498301,0.0016070399378498301,-0.001395000000000035,0.001395000000000035
