competition,model_id,model_family,seed,params_json,started_at,cv_auc_mean,cv_auc_std,cv_auc_min,cv_auc_max,submission_path,submitted_to_kaggle,kaggle_status,public_auc,private_auc,runtime_seconds,error,finished_at
porto,613,xgboost,71038,"{""n_estimators"": 700, ""learning_rate"": 0.07, ""max_depth"": 5, ""min_child_weight"": 5.0, ""gamma"": 0.0, ""subsample"": 0.6, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",2026-05-13T01:22:28.757161,0.6299788600120853,0.0032311242566929934,0.6243140011020013,0.6335028579910089,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0613.csv,False,,,,59.899714946746826,,2026-05-13T01:23:28.656867
porto,614,xgboost,316704,"{""n_estimators"": 300, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_weight"": 1.0, ""gamma"": 0.3, ""subsample"": 0.8, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",2026-05-13T01:23:28.667376,0.6394421394259073,0.0034666057881403184,0.6331225432797406,0.6435354065516844,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0614.csv,False,,,,38.50493383407593,,2026-05-13T01:24:07.172301
porto,615,xgboost,11417,"{""n_estimators"": 1100, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1.0, ""gamma"": 0.1, ""subsample"": 0.6, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 0.5}",2026-05-13T01:24:07.183475,0.6355122343915645,0.0038572877617707186,0.6285179100491515,0.6390256154293676,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0615.csv,False,,,,78.57544231414795,,2026-05-13T01:25:25.758907
porto,616,xgboost,238723,"{""n_estimators"": 500, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 2.0, ""gamma"": 0.1, ""subsample"": 0.7, ""colsample_bytree"": 0.9, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0}",2026-05-13T01:25:25.769868,0.6385003438244585,0.00337540022278141,0.6321075749491631,0.641874671348635,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0616.csv,False,,,,36.45023798942566,,2026-05-13T01:26:02.220097
porto,617,xgboost,539529,"{""n_estimators"": 500, ""learning_rate"": 0.07, ""max_depth"": 4, ""min_child_weight"": 3.0, ""gamma"": 0.05, ""subsample"": 0.9, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.5, ""reg_lambda"": 5.0}",2026-05-13T01:26:02.231178,0.6392897731382894,0.0024797031738473434,0.6344602837396525,0.6413412368088711,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0617.csv,False,,,,38.74960899353027,,2026-05-13T01:26:40.980777
porto,618,xgboost,390625,"{""n_estimators"": 1100, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 2.0, ""gamma"": 0.3, ""subsample"": 0.7, ""colsample_bytree"": 1.0, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",2026-05-13T01:26:40.991505,0.6399933572581077,0.0028517782329943926,0.6346285419668878,0.6425493329066458,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0618.csv,False,,,,113.94099712371826,,2026-05-13T01:28:34.932493
porto,619,xgboost,901880,"{""n_estimators"": 300, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 2.0, ""gamma"": 0.01, ""subsample"": 0.9, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1}",2026-05-13T01:28:34.947329,0.6350298710779667,0.0035952228844105365,0.6283236701146816,0.6388503996667426,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0619.csv,False,,,,25.82305884361267,,2026-05-13T01:29:00.770377
porto,620,xgboost,938404,"{""n_estimators"": 1100, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 1.0, ""gamma"": 0.3, ""subsample"": 0.9, ""colsample_bytree"": 0.9, ""reg_alpha"": 0.01, ""reg_lambda"": 2.0}",2026-05-13T01:29:00.781637,0.6403939681934548,0.0031947510494472575,0.634177808271786,0.6432269490518816,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0620.csv,False,,,,65.76257085800171,,2026-05-13T01:30:06.544199
porto,621,xgboost,59810,"{""n_estimators"": 900, ""learning_rate"": 0.03, ""max_depth"": 4, ""min_child_weight"": 8.0, ""gamma"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.6, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0}",2026-05-13T01:30:06.555390,0.6408559127680846,0.0034284074722924045,0.63423131178204,0.6435553219092839,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0621.csv,False,,,,64.97531008720398,,2026-05-13T01:31:11.530690
porto,622,xgboost,281359,"{""n_estimators"": 500, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 3.0, ""gamma"": 0.1, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0}",2026-05-13T01:31:11.543404,0.6396439901590323,0.0030889864111197686,0.6341973834618511,0.6428591704848803,/Users/kunalgurung/Desktop/UTS SEM4/36126/project/submissions/porto_1000_models/porto_model_0622.csv,False,,,,41.86875796318054,,2026-05-13T01:31:53.412152
